 ,U.S.,Korea,Japan,China,GB+FR+DE,Taiwan,France,Germany,Great Britain,Canada,India
2004,53844.00,13838.00,29132.00,17686.00,20383.00,7450.00,3338.00,11809.00,5236.00,,
2005,59589.00,17011.00,32416.00,22208.00,22438.00,9255.00,3742.00,12882.00,5814.00,,
2006,66062.00,20395.00,35998.00,27560.00,24559.00,11225.00,4122.00,14044.00,6393.00,,
2007,73195.00,23997.00,40214.00,33919.00,26852.00,13713.00,4628.00,15271.00,6953.00,5827.00,1216.00
2008,80693.00,28175.00,44180.00,40556.00,29324.00,16723.00,5197.00,16570.00,7557.00,6613.00,1539.00
2009,87830.00,33689.00,47869.00,43256.00,32259.00,19794.00,5774.00,17718.00,8767.00,7439.00,1895.00
2010,95456.00,39814.00,51781.00,44922.00,34163.00,22872.00,6406.00,18938.00,8819.00,8457.00,2294.00
2011,103862.00,46306.00,55856.00,46796.00,36803.00,26138.00,7044.00,20246.00,9513.00,9477.00,2760.00
2012,113275.00,53728.00,60206.00,49318.00,39538.00,29641.00,7690.00,21551.00,10297.00,10495.00,3345.00
2013,123719.00,61648.00,64500.00,52530.00,42392.00,33006.00,8385.00,22915.00,11092.00,11433.00,4051.00
2014,133941.00,69158.00,68857.00,55868.00,45521.00,35822.00,9198.00,24469.00,11854.00,12215.00,4865.00
