DATE,RU3000TR
2007-01-03,3399.40
2007-01-04,3405.66
2007-01-05,3381.19
2007-01-08,3389.61
2007-01-09,3390.13
2007-01-10,3398.98
2007-01-11,3424.30
2007-01-12,3442.28
2007-01-15,.
2007-01-16,3443.83
2007-01-17,3440.12
2007-01-18,3425.22
2007-01-19,3437.60
2007-01-22,3418.55
2007-01-23,3432.52
2007-01-24,3463.31
2007-01-25,3424.70
2007-01-26,3423.46
2007-01-29,3423.81
2007-01-30,3442.99
2007-01-31,3465.73
2007-02-01,3486.82
2007-02-02,3493.21
2007-02-05,3490.02
2007-02-06,3495.07
2007-02-07,3504.61
2007-02-08,3501.10
2007-02-09,3474.36
2007-02-12,3462.20
2007-02-13,3489.82
2007-02-14,3515.51
2007-02-15,3520.66
2007-02-16,3519.96
2007-02-19,.
2007-02-20,3534.22
2007-02-21,3531.11
2007-02-22,3529.16
2007-02-23,3517.78
2007-02-26,3511.71
2007-02-27,3391.02
2007-02-28,3408.87
2007-03-01,3399.94
2007-03-02,3357.39
2007-03-05,3319.48
2007-03-06,3374.08
2007-03-07,3366.42
2007-03-08,3390.64
2007-03-09,3395.08
2007-03-12,3405.48
2007-03-13,3336.05
2007-03-14,3357.33
2007-03-15,3373.42
2007-03-16,3359.30
2007-03-19,3395.81
2007-03-20,3418.74
2007-03-21,3476.19
2007-03-22,3475.66
2007-03-23,3479.63
2007-03-26,3481.53
2007-03-27,3459.91
2007-03-28,3434.94
2007-03-29,3446.00
2007-03-30,3444.36
2007-04-02,3453.66
2007-04-03,3486.64
2007-04-04,3490.17
2007-04-05,3501.93
2007-04-06,.
2007-04-09,3503.95
2007-04-10,3512.77
2007-04-11,3489.96
2007-04-12,3511.37
2007-04-13,3524.33
2007-04-16,3562.40
2007-04-17,3567.99
2007-04-18,3568.70
2007-04-19,3561.66
2007-04-20,3594.28
2007-04-23,3587.55
2007-04-24,3585.18
2007-04-25,3618.85
2007-04-26,3618.31
2007-04-27,3615.00
2007-04-30,3581.95
2007-05-01,3591.06
2007-05-02,3619.41
2007-05-03,3634.10
2007-05-04,3643.25
2007-05-07,3650.60
2007-05-08,3647.19
2007-05-09,3661.48
2007-05-10,3609.34
2007-05-11,3645.10
2007-05-14,3635.66
2007-05-15,3626.28
2007-05-16,3656.82
2007-05-17,3652.41
2007-05-18,3676.77
2007-05-21,3688.43
2007-05-22,3690.99
2007-05-23,3684.59
2007-05-24,3645.41
2007-05-25,3665.96
2007-05-28,.
2007-05-29,3677.20
